,property_id,suburb,city,state,country,latitude,longitude,location
207,503025,Bondi Beach,Sydney,NSW,Australia,-33.8861,151.26959,"37 Curlewis St, Bondi Beach NSW 2026"
208,546595,Cremorne,Sydney,NSW,Australia,-33.82476,151.22943,"11 Levick St, Cremorne NSW 2090"
209,557967,Cromer,Sydney,NSW,Australia,-33.736959999999996,151.27017,"9 Paruna Pl, Cromer NSW 2099"
210,587669,Palm Beach,Sydney,NSW,Australia,-33.603190000000005,151.33141,"338 Whale Beach Rd, Palm Beach NSW 2108"
211,595031,Maroubra,Sydney,NSW,Australia,-33.9407,151.2577,"17 The Causeway, Maroubra NSW 2035"
212,637986,Darlinghurst,Sydney,NSW,Australia,-33.87631,151.21944,"10 Clapton Pl, Darlinghurst NSW 2010"
213,642749,Balmain,Sydney,NSW,Australia,-33.86104,151.18732,"34 Adolphus St, Balmain NSW 2041"
214,644054,Collaroy Plateau,Sydney,NSW,Australia,-33.73137,151.28736999999998,"25 Hall Ave, Collaroy Plateau NSW 2097"
215,698401,Redfern,Sydney,NSW,Australia,-33.8947,151.21428,"30 Maddison Ln, Redfern NSW 2016"
216,703003,Darlinghurst,Sydney,NSW,Australia,-33.87753,151.22585,"13 Barcom Ave, Darlinghurst NSW 2010"
217,59297,Alexandria,Sydney,NSW,Australia,-33.901990000000005,151.19305,"143 Belmont Ln, Alexandria NSW 2015"
218,68999,Cherrybrook,Sydney,NSW,Australia,-33.729659999999996,151.05226000000002,"4 Beahan Pl, Cherrybrook NSW 2126"
219,199043,Rosebery,Sydney,NSW,Australia,-33.914640000000006,151.21125,"4 Galara St, Rosebery NSW 2018"
220,225478,Bundeena,Sydney,NSW,Australia,-34.08273,151.15598,"35 Loftus St, Bundeena NSW 2230"
221,255059,Newtown,Sydney,NSW,Australia,-33.89436,151.17774,"146 Australia St, Newtown NSW 2042"
222,262192,Dawes Point,Sydney,NSW,Australia,-33.8572,151.20619,"67 Lower Fort St, Dawes Point NSW 2000"
223,318591,Glebe,Sydney,NSW,Australia,-33.87743,151.17926,"30 Arcadia Rd, Glebe NSW 2037"
224,330547,Drummoyne,Sydney,NSW,Australia,-33.85236,151.15955,"35 St Georges Cres, Drummoyne NSW 2047"
225,374069,Chippendale,Sydney,NSW,Australia,-33.88673,151.19781,"27 Levey St, Chippendale NSW 2008"
226,466383,North Curl Curl,Sydney,NSW,Australia,-33.76348,151.29738999999998,"2 Taylor St, North Curl Curl NSW 2099"
227,562837,Sydney,Sydney,NSW,Australia,-33.86949,151.22478999999998,"22 Rockwall Cres, Potts Point NSW 2011"
228,655236,Pymble,Sydney,NSW,Australia,-33.76014,151.13592,"21 Shaddock Ave, Pymble NSW 2073"
229,665778,Crows Nest,Sydney,NSW,Australia,-33.830290000000005,151.20266,"365A Pacific Hwy, Crows Nest NSW 2065"
230,14250,Balgowlah,Sydney,NSW,Australia,-33.80093,151.26172,"80 Woodland St S, Balgowlah NSW 2093"
231,45440,Bondi Beach,Sydney,NSW,Australia,-33.88909,151.27451000000002,"151 Curlewis St, Bondi Beach NSW 2026"
232,273477,North Bondi,Sydney,NSW,Australia,-33.88078,151.27255,"11a Bonus St, North Bondi NSW 2026"
233,408202,Rooty Hill,Sydney,NSW,Australia,-33.78338,150.84675,"32 Evans Rd, Rooty Hill NSW 2766"
234,430526,Clovelly,Sydney,NSW,Australia,-33.9117,151.26153,"19 Burnie St, Clovelly NSW 2031"
235,646516,Rose Bay,Sydney,NSW,Australia,-33.87873,151.27584,"69 Reina St, North Bondi NSW 2026"
236,659009,Darlinghurst,Sydney,NSW,Australia,-33.876979999999996,151.22202,"320A Victoria St, Darlinghurst NSW 2010"
237,677546,Linley Point,Sydney,NSW,Australia,-33.82805,151.14616999999998,"Cunninghams Reach, Burns Bay Rd, Linley Point NSW 2066"
